ncbi_id,reactome_id,reactome_name
100293534,R-HSA-166663,Initial triggering of complement
100293534,R-HSA-174577,Activation of C3 and C5
100293534,R-HSA-977606,Regulation of Complement cascade
100293534,R-HSA-9920588,Dengue virus activates/modulates innate and adaptive immune responses
1003,R-HSA-418990,Adherens junctions interactions
1003,R-HSA-5218920,VEGFR2 mediated vascular permeability
1003,R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
100302652,R-HSA-8951664,Neddylation
100302652,R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation
100302736,R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand
100302736,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade
100302736,R-HSA-166166,MyD88-independent TLR4 cascade 
100302736,R-HSA-2562578,TRIF-mediated programmed cell death
100302736,R-HSA-6798695,Neutrophil degranulation
100302736,R-HSA-936964,"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)"
100302736,R-HSA-937041,IKK complex recruitment mediated by RIP1
100302736,R-HSA-937072,TRAF6-mediated induction of TAK1 complex within TLR4 complex
100302736,R-HSA-975163,IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation
100302736,R-HSA-9824878,"Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7 "
100303755,R-HSA-9864848,Complex IV assembly
10038,R-HSA-110362,POLB-Dependent Long Patch Base Excision Repair
10038,R-HSA-5685939,HDR through MMEJ (alt-NHEJ)
10038,R-HSA-5696394,DNA Damage Recognition in GG-NER
10038,R-HSA-5696395,Formation of Incision Complex in GG-NER
10038,R-HSA-5696400,Dual Incision in GG-NER
1004,R-HSA-418990,Adherens junctions interactions
10043,R-HSA-6798695,Neutrophil degranulation
10046,R-HSA-1912408,Pre-NOTCH Transcription and Translation
10046,R-HSA-210744,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
10046,R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription
10046,R-HSA-2197563,NOTCH2 intracellular domain regulates transcription
10046,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants
